created_at,username,text,likes,retweets,hashtags
Fri Nov 01 13:06:09 +0000 2019,alferdez,Agradecería que Marcos Peña deje de gastar los pocos dólares que todavía no dilapidaron en instalar noticias falsas por las redes.  También agradecería a ciertos medios no prestarse a las fake news.   Estoy muy bien y trabajando para ordenar el caos que nos dejan. Gracias. https://t.co/maDIvHpeJg,73173,18987,[]
Thu Oct 31 22:54:59 +0000 2019,alferdez,"Rubén Cherñajovsky, uno de los empresarios más importantes del país, vino a contarme que en febrero Newsan comenzará a fabricar lavarropas LG en su planta de Avellaneda.  Además, planea ampliar su negocio de exportación de alimentos con inversiones superiores a U$S 50 millones. https://t.co/BPkJfM7FNF",13466,3187,[]
Thu Oct 31 22:18:48 +0000 2019,alferdez,"Me reuní con el gobernador de Neuquén, @OmarGutierrezOk, con quien coincidimos en la importancia de potenciar el desarrollo de Vaca Muerta prestando especial atención al impacto ambiental, que es el único camino para ser sustentables. https://t.co/8f6BANCCp7",5360,1075,[]
Thu Oct 31 12:44:08 +0000 2019,alferdez,"Muchas gracias por sus palabras, @narendramodi. Confío en que trabajaremos juntos para profundizar los vínculos entre nuestros pueblos. 🇦🇷🤝🇮🇳 https://t.co/VwzhgRNtxA",6086,945,[]
Thu Oct 31 02:15:27 +0000 2019,alferdez,"Raúl Alfonsín nos enseñó a muchos a valorar y cuidar la democracia, que no es solo una forma de gobierno: es un derecho y una manera de vivir.  Hoy cumplimos 36 años ininterrumpidos de gobiernos democráticos. Gracias, Raúl, por haber marcado este camino.   #DemocraciaParaSiempre https://t.co/HHG49QvgFt",10303,1807,[Hashtag(Text='DemocraciaParaSiempre')]
Thu Oct 31 01:52:16 +0000 2019,alferdez,"La fábrica Kabrilex trabaja al 50% de su capacidad por las políticas de este Gobierno, como toda la industria textil.   A pesar de ello @TeddyKara, un gran empresario del sector, decidió reabrir una planta que había cerrado, en un gesto de confianza en la Argentina que viene. https://t.co/AdtVoEj0CV",8556,1864,[]
Thu Oct 31 00:00:17 +0000 2019,alferdez,EN VIVO | Acto homenaje por el 36º aniversario del triunfo de Raúl Alfonsín. #DemocraciaParaSiempre https://t.co/GIqdAMv5bJ,4677,1228,[Hashtag(Text='DemocraciaParaSiempre')]
Wed Oct 30 20:57:06 +0000 2019,alferdez,"Cuando culmine mi mandato, habremos cumplido 40 de los 100 años de democracia que nos prometió Alfonsín.     Mi compromiso como presidente será empezar a saldar la deuda que él nos señalara: que todos puedan comer, sanar y educarse en la Argentina. https://t.co/X8xooE6oil",40993,5938,[]
Wed Oct 30 19:57:29 +0000 2019,alferdez,EN VIVO | Desde San Martín. https://t.co/AOYjIFdTul,4319,1242,[]
Wed Oct 30 19:15:54 +0000 2019,alferdez,"Muchas gracias, @aliciabarcena. Nuestro compromiso con los sectores más vulnerables es una prioridad y será muy importante trabajar junto a la @cepal_onu para lograr una sociedad cada vez más igualitaria. https://t.co/zWRXwudLD2",2511,471,[]
Wed Oct 30 19:05:23 +0000 2019,alferdez,"Brian Gallo fue víctima de una discriminación que no es tolerable en la Argentina y con la que espero que podamos terminar de una vez.  Me dijeron que juntarme con él iba a parecer oportunista. Si es una oportunidad para que dejemos de un lado nuestros prejuicios, bienvenida sea. https://t.co/4cITqbpCYK",77516,14090,[]
Wed Oct 30 02:40:59 +0000 2019,alferdez,"Las palabras de mi amigo @LulaOficial me emocionan. Como dice en su carta, junto a @CFKArgentina  recuperaremos de a poco nuestros lazos de fratenidad y respeto. Aprovecho para reclamar por su libertad y para enviar un cálido saludo a todo el pueblo hermano de Brasil.  #LulaLivre https://t.co/igvKOacOyV",33198,7815,[Hashtag(Text='LulaLivre')]
Wed Oct 30 02:29:55 +0000 2019,alferdez,"En Santiago del Estero recorrí el Centro Integral de Salud de Termas de Río Hondo, que tiene un equipamiento de última generación.  La salud de los argentinos jamás es un gasto, es una inversión. El gobernador @GZamoraSDE lo comprende. https://t.co/xRpYo6Zhx6",4730,830,[]
Tue Oct 29 21:55:09 +0000 2019,alferdez,"¡Qué feliz me pone recibir el saludo del club de mis amores! Muchas gracias @AAAJoficial, es un orgullo ser parte de esta familia 🐞 https://t.co/m3OQkbrFfb",14258,1305,[]
Tue Oct 29 21:50:32 +0000 2019,alferdez,"@RICALFONSIN @Kicillofok Muchas gracias, querido @RICALFONSIN. Sabés que tengo un gran aprecio por vos y por tu padre. Ahora vamos a trabajar entre todos para sacar al país adelante. Sé que cuento con vos.",494,58,[]
Tue Oct 29 21:42:22 +0000 2019,alferdez,"Gracias, @Almagro_OEA2015. La Argentina renovó su compromiso democrático, que da cuenta de la madurez de nuestro pueblo. Ahora debemos trabajar para dejar atrás nuestros desencuentros y construir un país para todos. https://t.co/L959FY8YdU",2261,424,[]
Tue Oct 29 21:34:11 +0000 2019,alferdez,"@nayibbukele Gracias, presidente, por el saludo y los buenos deseos. Por supuesto que trabajaremos juntos por el bien de nuestros pueblos. 🇦🇷🤝🇸🇻",1438,172,[]
Tue Oct 29 21:31:52 +0000 2019,alferdez,"Muchas gracias por habernos acompañado el domingo, @lugo_py. Te mando un gran abrazo y un cariño inmenso a todo el pueblo hermano de Paraguay. https://t.co/8er2A1qKxf",5265,895,[]
Tue Oct 29 21:27:04 +0000 2019,alferdez,"Gracias, querida @dilmabr. Vamos a recorrer juntos ese camino de desarrollo, justicia social y lucha contra la desigualdad, porque los destinos de Argentina y Brasil están atados por un lazo histórico de hermandad. https://t.co/afF73sDeOY",14519,2546,[]
Tue Oct 29 19:04:21 +0000 2019,alferdez,"@Zourabichvili_S ¡Muchas gracias, presidenta! Trabajaremos juntos para que así sea. 🇦🇷🤝🇬🇪",482,37,[]
Tue Oct 29 19:03:27 +0000 2019,alferdez,"Gracias al primer ministro @BorisJohnson por el saludo. Sin renunciar a nuestro reclamo de soberanía, debemos trabajar juntos para afianzar los lazos entre el pueblo argentino y el británico, que comparten mucho más de lo que imaginamos. https://t.co/EENxuYBRJl",21498,2821,[]
Tue Oct 29 19:01:13 +0000 2019,alferdez,"Muchas gracias al Gobierno de Canadá y felicitaciones al primer ministro @JustinTrudeau por haber conseguido la reelección.  Deseo que ambos países puedan ampliar y potenciar su vínculos, no solo comerciales sino también culturales. https://t.co/NqmL44rKP8",7501,897,[]
Tue Oct 29 17:54:12 +0000 2019,alferdez,"Te deseo lo mejor para esta segunda gestión, @JuanManzurOK. Fue un honor haber participado hoy de tu asunción.  Como siempre digo, vamos a construir entre todos una Argentina federal de verdad, en la que el presidente gobierne junto a los 24 gobernadores. https://t.co/6fReS5dexR",4100,777,[]
Tue Oct 29 17:24:54 +0000 2019,alferdez,El país que se viene va a dejar atrás los prejuicios y la discriminación.  Todos somos Brian.  https://t.co/wJEzVBuHyl,109281,23073,[]
Tue Oct 29 14:32:29 +0000 2019,alferdez,"Felicito a @rafaelmgrossi por haber sido elegido como Director General del Organismo Internacional de Energía Atómica (OIEA), el primer latinoamericano al frente de esa institución. Es un orgullo para los argentinos y para América Latina. Confiamos en que hará un gran trabajo.",6401,970,[]
Tue Oct 29 03:15:45 +0000 2019,alferdez,"Gracias, @SecPompeo. Deseo que construyamos una relación de respeto y mutuo entendimiento con los Estados Unidos. Confío en que el trabajo conjunto fortalezca los lazos que nos unen y ayude a que Argentina recupere el rumbo del desarrollo. https://t.co/CpbS6L2KTu",4935,672,[]
Tue Oct 29 01:42:02 +0000 2019,alferdez,"Gracias, @Lipovetzky, por tu mensaje y tu respeto de siempre. A la Argentina la vamos a poner de pie con el trabajo y el esfuerzo de todos. https://t.co/fWAR7DKBdB",6519,584,[]
